,index,psnr,mse,ssim,ncc
0,1,33.317560621656774,0.0004658475809264928,0.78743213,0.98160774
1,2,33.000617612349586,0.0005011158646084368,0.7556351,0.9882636
2,3,33.44980855700627,0.0004518757632467896,0.81593925,0.994054
3,4,32.79770864197301,0.0005250843241810799,0.76163286,0.9893444
4,5,33.201712182096735,0.0004784413322340697,0.6354256,0.98716664
5,6,33.05773671544337,0.0004945682594552636,0.7440071,0.9893013
6,7,32.82767261746929,0.000521473994012922,0.69917345,0.9897547
7,8,32.944213615629025,0.0005076665547676384,0.7088433,0.9820231
8,9,32.95023252372729,0.0005069634644314647,0.7255776,0.99305356
9,10,33.056432998224885,0.0004947167471982539,0.78506356,0.9885663
10,11,33.287230574185614,0.00046911233221180737,0.79399323,0.99353456
11,12,33.25645911223505,0.00047244798042811453,0.7732856,0.9911712
12,13,32.76613389354352,0.0005289157852530479,0.7837576,0.98920256
13,14,32.7895036421213,0.0005260772886686027,0.76725215,0.9814167
14,15,32.98368518952741,0.0005030734464526176,0.7478171,0.9888394
15,16,32.555608170649315,0.000555186765268445,0.73408157,0.9833577
16,17,33.032398529447704,0.0004974621697328985,0.8123303,0.9871593
17,18,33.37649498708979,0.00045956866233609617,0.7461639,0.98608655
18,19,32.65316351808542,0.0005428546573966742,0.684541,0.9871868
19,20,32.83180721100612,0.0005209777737036347,0.76046354,0.9865724
20,21,33.240968145762615,0.00047413617721758783,0.7715595,0.99038583
21,22,33.272455014369065,0.00047071106382645667,0.76768714,0.99011356
22,23,33.01179567184909,0.0004998277290724218,0.7081692,0.99132675
23,24,33.13842204347544,0.00048546475591138005,0.7217376,0.97814655
24,25,32.85085868498442,0.0005186973721720278,0.6860454,0.9824039
25,26,32.88512925020401,0.0005146203911863267,0.7022049,0.9924075
26,27,32.93755217120157,0.000508445838931948,0.748254,0.99101806
27,28,32.78901497699977,0.0005261364858597517,0.7765315,0.9888439
28,29,33.49643578507535,0.0004470502317417413,0.762156,0.989138
29,30,33.10897213863618,0.0004887679242528975,0.7066271,0.98592716
30,31,32.91495722654131,0.0005110980127938092,0.7652259,0.9856482
31,32,33.074959880242446,0.0004926107940264046,0.7883789,0.9651493
32,33,32.93187651554343,0.0005091107450425625,0.75970507,0.9870282
33,34,33.11776237249011,0.0004877796454820782,0.6562979,0.9891775
34,35,33.153043271742966,0.0004838331078644842,0.8711749,0.9930005
35,36,33.2562017513282,0.0004724759783130139,0.7970185,0.98589444
36,37,33.0944176146562,0.0004904086817987263,0.7385054,0.98942685
37,38,33.16050414491376,0.0004830026300624013,0.7405171,0.9950821
38,39,33.02213203066318,0.0004986395360901952,0.81734556,0.9904044
39,40,33.112053697233684,0.0004884212394244969,0.6757002,0.9909986
40,41,32.77307489593579,0.0005280711338855326,0.78319424,0.9878767
41,42,33.079392329691494,0.0004921082872897387,0.82104874,0.99491173
42,43,33.26684840358459,0.0004713191301561892,0.7775368,0.9892089
43,44,33.2660085587337,0.0004714102833531797,0.7520864,0.9917671
44,45,32.82918825891966,0.0005212920368649065,0.7068487,0.9900885
45,46,33.65599360360643,0.00043092385749332607,0.6513745,0.9783155
46,47,32.985187913795464,0.0005028994055464864,0.74305916,0.991752
47,48,32.93316373165405,0.0005089598707854748,0.712935,0.98670834
48,49,33.03901834921596,0.0004967044806107879,0.770744,0.9902261
49,50,32.56591583640011,0.0005538706318475306,0.6584985,0.9869526
50,51,32.790826725418334,0.0005259170429781079,0.74581283,0.9843405
51,52,33.07615008232033,0.0004924758104607463,0.79302615,0.9917091
52,53,32.81348394966003,0.0005231804680079222,0.726254,0.986828
53,54,32.86520637142274,0.0005169865908101201,0.7701976,0.98146766
54,55,32.78752673705917,0.0005263168131932616,0.7468187,0.99008125
55,56,32.949400372152226,0.0005070606130175292,0.74847096,0.9842691
56,57,32.61528973462502,0.0005476094665937126,0.69799536,0.9835431
57,58,32.47796073199895,0.0005652022082358599,0.76689523,0.9854052
58,59,33.33807452993175,0.0004636523372028023,0.8041296,0.9945864
59,60,32.71910776150594,0.0005346740945242345,0.78352433,0.98054993
60,61,33.23141555312561,0.00047518021892756224,0.73735666,0.9922592
61,62,33.254877199230066,0.00047262010048143566,0.74070454,0.9860331
62,63,33.060700793430755,0.0004942308296449482,0.6792488,0.9873547
63,64,32.611792915405985,0.0005480505642481148,0.67368895,0.98240924
64,65,32.94833411497736,0.0005071851192042232,0.7487027,0.9893399
65,66,33.04600865979224,0.0004959056386724114,0.7603943,0.9814751
