,image_number,psnr,mse
0,1,100.0,0.0
1,1,33.35578937415178,0.0004617649537976831
2,1,100.0,0.0
3,1,31.32580153328936,0.0007369190570898354
4,1,35.033654068873275,0.00031378664425574243
5,1,36.227190496627095,0.00023838601191528141
6,1,37.57699524103223,0.0001747029455145821
7,1,29.62050089013095,0.0010913143632933497
8,1,100.0,0.0
9,1,28.297485445952955,0.0014799649361521006
10,1,32.79286476420886,0.0005256703007034957
11,1,100.0,0.0
12,1,35.15467436878766,0.00030516338301822543
13,1,35.08329130870866,0.0003102206683252007
14,1,100.0,0.0
15,1,100.0,0.0
16,1,35.371787236707426,0.00029028268181718886
17,1,100.0,0.0
18,1,100.0,0.0
19,1,100.0,0.0
20,1,100.0,0.0
21,1,100.0,0.0
22,1,100.0,0.0
23,1,100.0,0.0
24,1,37.3571322349333,0.00018377504602540284
25,1,34.6262374863137,0.00034464828786440194
26,1,100.0,0.0
27,1,35.33887570436968,0.00029249084764160216
28,1,100.0,0.0
29,1,100.0,0.0
30,1,35.646714960163465,0.000272476056125015
31,1,35.82025677996922,0.0002618027210701257
32,1,34.561614795397155,0.00034981497447006404
33,1,30.90213376102629,0.0008124311571009457
34,1,100.0,0.0
35,1,33.65542842296401,0.0004309799405746162
36,1,35.452551597836,0.0002849342708941549
37,1,100.0,0.0
38,1,100.0,0.0
39,1,36.72399579993555,0.00021261809160932899
40,1,32.002418560529065,0.0006306059658527374
41,1,31.35076687040588,0.0007326950435526669
42,1,34.57124714704189,0.0003490399685688317
43,1,31.430635888430324,0.0007193435449153185
44,1,35.16185244940622,0.00030465942109003663
45,1,100.0,0.0
46,1,34.932061075015525,0.00032121347612701356
47,1,100.0,0.0
48,1,32.688584142071065,0.0005384451942518353
49,1,100.0,0.0
50,1,34.118480251412755,0.0003873930836562067
51,1,36.88938598352667,0.00020467329886741936
52,1,100.0,0.0
53,1,33.80411111719725,0.0004164748534094542
54,1,36.991816267615555,0.00019990246801171452
55,1,100.0,0.0
56,1,39.575443922344135,0.00011026945139747113
57,1,100.0,0.0
58,1,33.1517354426668,0.00048397883074358106
59,1,100.0,0.0
